国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,鳥類,シリアカヒヨドリ,Pycnonotus cafer,1,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,鳥類,メジロ,Zosterops spp.,1,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,ワニガメ属,Macrochelys spp.,34,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,ニシキガメ属,Chrysemys spp.,4,未定着,,,,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,チズガメ属3種（ミシシッピチズガメ、フトマユチズガメ（サビーンチズガメを含む）、ニセチズガメ）,Graptemys spp.,4,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,クーターガメ属,Pseudemys spp.,4,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,チュウゴクセマルハコガメ,Cuora flavomarginata flavomarginata,4,未定着,,,,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,ハナガメ,Mauremys sinensis,4,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,アメリカスッポン属,Apalone spp.,4,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,ブラウンアノール,Anolis sagrei,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,特定外来生物のアノール属（グリーンアノール、ブラウンアノール除く）,Anolis spp.,4,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,ヒョウモントカゲモドキ,Eublepharis macularius,4,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,ミナミオオガシラ,Boiga irregularis,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,爬虫類,特定外来生物のオオガシラ属（ミナミオオガシラを除く）,Boiga spp.,4,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,両生類,特定外来生物のヒキガエル属（オオヒキガエルを除く）,Bufo spp.,4,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,両生類,ヨーロッパミドリヒキガエルなどヒキガエル属5種（ヨーロッパミドリヒキガエル、テキサスミドリヒキガエル、ナンブヒキガエル、ガルフコーストヒキガエル、ロココヒキガエル（キャハンヒキガエル））,Bufo spp.,4,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,両生類,アジアジムグリガエル,Kaloula pulchra,4,未定着,,,,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,両生類,ヘリグロヒキガエル,Bufo melanostictus,4,未定着,,,未判定,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,ガー科,Lepisosteidae Gen. spp.,14,未定着,,,,
