ミヤマカンスゲ,,,,,,,,,,1,,,,,,,
ミヤマガマズミ,,,,,,,,,,1,1,,,,,,
ミヤマキケマン,,,,,,,,,,1,1,,,,,,
ミヤマササガヤ,,,,,,,,,,1,1,,,,,1,
ミヤマシキミ,,,,,,,,,,1,,,,,,,
ミヤマシグレ,,,,,,,,,,,,,1,,,,
ミヤマシケシダ,,,,,,,,,,1,,,,,,,
ミヤマシケシダ（広義）,,,,,,,,,,1,,,,,,,
ミヤマシケシダ（狭義）,,,,,,,,,,1,,,,,,,
ミヤマシシウド,,,,,,,,,,,1,,1,,,1,
ミヤマシラスゲ,,,,,,1,,,,,,,,,,,
ミヤマジュズスゲ,1,,,,,,,,,1,,,,,,,
ミヤマタゴボウ,1,,,,,,,,,1,,,,,,,
ミヤマタニソバ,1,,,,,,,,,1,,,,,,,
ミヤマタニタデ,,,,,,1,,,,1,,,1,,,,
ミヤマタムラソウ,,,,,,,,,,1,,,,,,,
ミヤマチドメ,1,,,,,1,,,,1,,,,,,,
ミヤマチョウジザクラ,,,,,,,,,,1,,,,,,,
ミヤマトウバナ,,,,,,,,,,,1,,,,,,
ミヤマナルコユリ,,,,,,,,,,1,,,,,,,
ミヤマニガイチゴ,,,,,,,,,,1,1,,1,,,,
ミヤマニガウリ,,,,,,,,,,1,,,,,,,
ミヤマネズミガヤ,,,,,,,,,,1,,,,,,,
ミヤマノキシノブ,,,,,,,,,,1,,,,,,,1
ミヤマノコギリシダ,,,,,,,,,,1,,,,,,,
ミヤマハコベ,,,,,,1,,,,,,,,,,,
ミヤマハハソ,1,,,,,,,,,1,1,,,,,,
ミヤマフユイチゴ,,,,,,,,,,1,,,,,,,
ミヤマベニシダ,,,,,,,,,,1,1,,,,,,
ミヤマホソコウガイゼキショウ,,,,,,1,,,,,,,1,,,,
ミヤママタタビ,,,,,,,,,,1,,,,,,,
ミヤマママコナ,,,,,,,,,,1,1,,,,,,
ミヤマミズ,,,,,,1,,,,1,,,,,,,
ミヤマムグラ,,,,,,,,,,1,,,,,,,
ミヤマヤシャブシ,,,,,,,,,,1,1,,,,,,
ミヤマヨメナ,1,,,,,,,,,1,,,,,,,
ミヤマヨメナ(ミヤコワスレ),1,,,,,,,,,1,,,,,,,
ミョウガ,,,,,,,,,,1,1,,,,,,
ムカゴイラクサ,,,,,,,,,,1,,,,,,,
ムギクサ,,,,,,,,,1,,,,,1,,1,
ムギセンノウ,,,,,,,,,,,1,,,,,,
ムクゲ,,,,,,,,,,,,1,,,,,
ムクゲチャヒキ,,,,,,,,,,,,,,,,1,
ムクノキ,,,,,,,,,,1,,,,,,,
ムクロジ,,,,,,,,,,1,1,,,,,,
ムシカリ,,,,,,,,,,1,,,,,,,
ムシクサ,,1,1,,,1,1,,,,,,,,,,
ムシトリナデシコ,,,,,,,,,,,,,,,,1,
ムスカリ,,,,,,,,,,,,,,,,,1
ムツアカバナ,,,,,,,,,,,1,,,,,,
ムツオレグサ,,,,,,1,1,,,,,,,,,,
ムベ,,,,,,,,,,1,1,,,,,,
ムヨウラン,,,,,,,,,,1,,,,,,,
ムヨウラン属の一種,,,,,,,,,,1,,,,,,,
ムラサキウマゴヤシ,,,,,,,,,,,,,,,,,1
ムラサキエノコロ,,1,1,,,,,,,,1,,,,1,1,
ムラサキエノコログサ,,1,1,,,,,,,,1,,,,1,1,
ムラサキカタバミ,,,,,,,,,1,1,,,,,1,1,
ムラサキケマン,,,,,,1,1,,,,,,,,,,
ムラサキサギゴケ,,,,,1,1,1,,,,,,,,,,
ムラサキシキブ,,,,,,,,,,1,1,,,,,,
ムラサキツメクサ,,,,,,,,,,,,,,,,,1
ムラサキツユクサ,,,,,,,,,,,1,,,,,1,
ムラサキナギナタガヤ,,1,1,,,,,,,,1,,,,1,,
ムラサキニガナ,,,,,,,,,,1,,,,,,,
ムラサキネズミノオ,,,,,,,,,,,,,,,1,1,
ムラサキマムシグサ,,,,,,,,,,1,,,,,,,
ムラサキマユミ,,,,,,,,,,1,,,,,,,
ムラサキヤシオ,,,,,,,,,,1,1,,,,,,
ムロウテンナンショウ,,,,,,,,,,1,1,,,,,,
メアオスゲ,,,,,,,,,,1,1,,,,,,
メアゼテンツキ,,,,,,1,1,,,,1,,,,,,
メガルカヤ,,1,1,,,,,,,1,1,,,,,1,
メキシコマンネングサ,,,,,,,,,,,,,,,,1,
メギ,,,,,,,,,,1,1,,,,,,
メグサハッカ,,1,1,,1,1,,,,,,,,,,,
メグスリノキ,,,,,,,,,,,,,1,,,,
メタセコイア,,,,,,,,,,,,1,,,,,
メタセコイヤ,,,,,,,,,,,,1,,,,,
メダケ,,1,1,,,,,,,,,,,,,,
メダラ,,,,,,,,,,1,1,,,,,,
メドハギ,,,,,,,,,,,1,,,,,1,
メナモミ,,,,,,,,,,1,1,,,,,,
メノマンネングサ,,,,,,,,,,,,,,,1,,
メハジキ,,,,,,,,,,,,,,,1,1,
メヒシバ,,,,,,,,,1,,1,,,,1,1,
メマツヨイグサ,,1,1,,,,,,,,,,,,1,1,
メマツヨイグサ(アレチマツヨイグサ),,1,1,,,,,,,,,,,,1,1,
メヤブソテツ,,,,,,,,,,1,,,,,,,
メヤブマオ,,,,,,,,,,1,,,,,,1,
メリケンカルカヤ,,,,,,,1,,1,1,,1,,1,1,1,
メリケンガヤツリ,,1,1,,1,1,,,1,,,,,,1,,
メリケントキンソウ,,,,,,,,,,,,1,,,1,1,
メリケンムグラ,,,,,,1,1,,,,,,,,,,
モウセンゴケ,,,,,,1,,,,,,,,,,,
モウソウチク,,,,,,,,,1,1,1,,,,,,
モエギスゲ,,,,,,,,,,1,1,,,,,,
モクレン,,,,,,,,,,1,,1,,,,,
モチツツジ,,,,,,,,,,1,,,,,,,
モチノキ,,,,,,,,,,1,,,,,,,
モッコク,,,,,,,,,,,,1,,,1,,
モミ,,,,,,,,,,1,,,1,,,,
モミジアオイ,,,,,,,,,,,,1,,,,,1
モミジイチゴ,,,,,,,,,,1,1,,,,,,
モミジカラスウリ,,,,,,,,,,1,1,,,,,,
モミジガサ,,,,,,,,,,1,,,,,,,
モミジバキセワタ,,,,,,,,,,,,,,,,,1
モミジバスズカケノキ,,,,,,,,,,,,,,,,,1
モモ,,,,,,,,,,,,,,,,,1
モモイロシロツメクサ,,,,,,,,,,,1,,,,,,
モンツキウマゴヤシ,,,,,,,,,,,1,,,,1,1,
ヤイトバナ,,1,1,,,,,,,,1,,,,,,
ヤエザキスイセン,,,,,,,,,,,,,,,,,1
ヤエムグラ,,,,,,,,,,,1,,,,1,,
ヤエヤマブキ,,,,,,,,,,,,,,,,,1
ヤクシソウ,,,,,,,,,,1,1,,,,,,
ヤクナガイヌムギ,,,,,,,,,,,1,,,,1,1,
ヤグルマギク,,,,,,,,,,,,,,,,,1
ヤグルマソウ,,,,,,,,,,1,1,,,,,,
ヤシャゼンマイ,1,,,,,,,,,,,,,,,,
ヤシャブシ,,,,,,,,,,1,,,,,,,
ヤセウツボ,,,,,,,,,1,1,1,,,1,,1,
ヤダケ,,,,,,,,,,,,,,,,,1
ヤチカワズスゲ,,,,1,,1,,,,,,,,,,,
ヤツデ,,,,,,,,,,1,1,,,,,,
ヤドリギ,,1,1,,,,,,,1,,,,,,,
ヤナギイチゴ,,,,,,,,,,1,,,,,,1,
ヤナギイノコズチ,,,,,,,,,,1,,,,,,,
ヤナギタデ,,1,1,1,1,1,1,,,,,,,,,,
ヤナギタンポポ,,,,,,,,,,,,,,,,,1
ヤナギハナガサ,,,,,,,,,,,,,,,,,
ヤナギバヒメジョオン,,,,,,,,,,,1,1,,,1,1,
ヤナギバルイラソウ,,,,,,,,,,,,1,,,1,1,
ヤナギモ,,1,1,1,1,1,,,,,,,,,,,
ヤノネグサ,,,,,,1,1,,,,,,,,,,
ヤノネボンテンカ,,,,,,,,,,,,,,,,,1
ヤハズアジサイ,,,,,,,,,,1,,,,,,,
ヤハズエンドウ,,,,,,,,,,,1,1,,,1,1,
ヤハズソウ,,,,,,,,,,,1,,,,1,,
ヤブイバラ,,,,,,,,,,1,,,,,,,
ヤブウツギ,,,,,,,,,,1,1,,,,,,
ヤブカラシ,,,,,,,,,1,,1,,,,,,
ヤブカンゾウ,,1,1,,,,,,,1,1,,,,,1,
ヤブガラシ,,,,,,,,,,,1,,,,1,1,
ヤブコウジ,,,,,,,,,,1,,,,,,,
ヤブサンザシ,,,,,,,,,,1,,,,,,,
ヤブジラミ,,,,,,,,,,,1,,,,,,
ヤブスゲ,,,,,,,,,,1,1,,,,,,
ヤブソテツ,,,,,,,,,,1,1,,,,,1,
ヤブタバコ,,,,,,,,,,1,1,,,,,,
ヤブタビラコ,,,,,,,1,,,1,1,,,,,,
ヤブツバキ,,,,,,,,,,1,,,,,,,
ヤブツルアズキ,,1,1,,,,,,,,1,,,,,,
ヤブデマリ,,,,,,,,,,1,,,,,,,
ヤブニッケイ,,,,,,,,,,1,,,,,,,
ヤブニンジン,,,,,,,,,,1,1,,,,,,
ヤブハギ,,,,,,1,,,,1,,,,,,,
ヤブヘビイチゴ,,,,,,1,1,,,1,1,,,,,,
ヤブマオ,,1,1,,,,,,,,,,,,,,
ヤブマメ,,,,,,,,,,1,1,,,,1,1,
ヤブミョウガ,,,,,,,,,,1,,,,,,,
ヤブムラサキ,,,,,,,,,,1,,,,,,,
ヤブラン,,,,,,,,,,1,,,,,,,
ヤブレガサ,,,,,,,,,,1,,,,,,,
ヤマアイ,,,,,,,,,,1,,,,,,,
ヤマアサクラザンショウ,,1,1,,,,,,,1,,,,,,,
ヤマアジサイ,,,,,,,,,,1,,,,,,,
ヤマアゼスゲ,1,1,,,,1,,,,,,,,,,,
ヤマアマドコロ,,,,,,,,,,1,1,,,,,,
ヤマアワ,,1,1,,,,,,,1,1,,,,,,
ヤマイ,,,,,,1,1,,,,,,,,,,
ヤマイタチシダ,,,,,,,,,,1,1,,,,,,
ヤマイヌワラビ,,,,,,,,,,1,,,,,,,
ヤマイバラ,,,,,,,,,,1,,,,,,,
ヤマウグイスカグラ,,,,,,,,,,1,,,,,,,
ヤマウコギ,,,,,,,,,,1,1,,,,1,,
ヤマウルシ,,,,,,,,,,1,,,,,,,
ヤマエンゴサク,,,,,,,,,,1,1,,,,,,
ヤマオダマキ,,,,,,,,,,1,1,,,,,,
ヤマカシュウ,,,,,,,,,,1,,,,,,,
ヤマカモジグサ,,,,,,,,,,1,1,,,,,1,
ヤマガキ,,,,,,,,,,1,1,,,,,,
ヤマガシュウ,,,,,,,,,,1,,,,,,,
ヤマキケマン,,,,,,,,,,1,1,,,,,,
ヤマキツネノボタン,,,,,,,,,,1,,,,,,,
ヤマクルマバナ,,,,,,,,,,,1,,,,,,
ヤマグルマ,,,,,,,,,,,,,,,1,,
ヤマグワ,,,,,,,,,,1,,,,,,,
ヤマコウバシ,,,,,,,,,,1,,,,,,,
ヤマゴボウ,,,,,,,,,1,,,,,,1,,
ヤマザクラ,,,,,,,,,,1,,,,,,,
ヤマシャクヤク,,,,,,,,,,1,,,,,,,
ヤマシロギク,,,,,,,,,,1,1,,,,,,
ヤマジノホトトギス,,,,,,,,,,1,,,,,,,
ヤマスズメノヒエ,,,,,,,,,,,1,,,,,1,
ヤマソテツ,,,,,,,,,,1,,,,,,,
ヤマタツナミソウ,,,,,,,,,,1,,,,,,,
ヤマタネツケバナ,1,,,,,,,,,1,1,,,,,,
ヤマツツジ,,,,,,,,,,1,1,,,,,,
ヤマテキリスゲ,,,,,,,,,,1,,,,,,,
ヤマトアオダモ,1,,,,,,,,,1,,,,,,,
ヤマトウバナ,,,,,,,,,,1,,,,,,,
ヤマトキホコリ,,,,,,1,,,,1,,,,,,,
ヤマトチャルメルソウ,1,,,,,1,,,,1,,,,,,,
ヤマトテンナンショウ,,,,,,,,,,1,1,,,,,,
ヤマドリゼンマイ,,,,,,1,,,,1,,,,,,,
ヤマナシ,,,,,,,,,,1,,,,,,,
ヤマナラシ,,,,,,,,,,1,,,,,,,
ヤマニガナ,,,,,,,,,,1,,,,,,,
ヤマヌカボ,,,,,,,,,,1,1,,,,1,1,
ヤマネコノメ,,,,,,,,,,1,1,,,,,,
ヤマネコノメソウ,,,,,,,,,,1,1,,,,,,
ヤマネコヤナギ,,,,,,,,,,1,,,,,,,
ヤマノイモ,,,,,,,,,,1,,,,,,,
ヤマハギ,,,,,,,,,,1,,,,,,,
ヤマハゼ,,,,,,,,,,1,,,,,,,
ヤマハタザオ,,,,,,,,,,,1,,,,,,
ヤマハッカ,,,,,,,,,,1,1,,,,,,
ヤマハハコ,,,,,,,,,,1,1,,1,,,,
ヤマハンノキ,,1,1,,1,1,,,,,,,,,,,
ヤマヒヨドリ,,,,,,,,,,1,,,,,,1,
ヤマビワ,,,,,,,,,,1,,,,,,,
ヤマフジ,,,,,,,,,,1,1,,,,,,
ヤマブキ,,,,,,,,,,1,1,,,,,,
ヤマブキショウマ,,,,,,,,,,,1,,,,,,
ヤマブキソウ,,,,,,,,,,1,,,,,,,
ヤマブドウ,,,,,,,,,,1,1,,,,,,
ヤマホタルブクロ,,,,,,,,,,,1,,,,,,
ヤマホトトギス,,,,,,,,,,1,1,,,,,,
ヤマホロシ,,,,,,,,,,1,1,,,,,,
ヤマボウシ,,,,,,,,,,1,,,,,,,
ヤマボクチ,,,,,,,,,,,1,,,,,,
ヤマミズ,,,,,,,,,,1,,,,,,,
