カワヨシノボリ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カンキョウカジカ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
キセルハゼ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
キチヌ（キビレ）,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
キュウリウオ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
キリクチ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キンブナ,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ギギ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ギバチ,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ギンガメアジ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ギンザケ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ギンブナ,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
クサフグ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
クボハゼ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
クルメサヨリ,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
クロダイ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
クロホシマンジュウダイ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
クロヨシノボリ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グッピー,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ゲンゴロウブナ,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
コイ,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
コウライニゴイ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
コウライモロコ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
コクチバス,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
コクレン,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
コトヒキ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
コボラ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
コンジキハゼ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ゴギ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ゴクラクハゼ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ゴマフエダイ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
サクラマス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サケ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サツキマス,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サヨリ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
シナイモツゴ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
シナノユキマス,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
シベリアヤツメ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シマイサキ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
シマウキゴリ（中流型）,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
シマドジョウ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シマハゼ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
シマヨシノボリ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シモフリシマハゼ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
シラウオ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
