503115,大分県東国東郡安岐町,哺乳類,1,ニホンザル,見た
503120,福岡県豊前市,哺乳類,1,ニホンザル,見た
503121,大分県中津市,哺乳類,1,ニホンザル,見た
503122,大分県宇佐市,哺乳類,1,ニホンザル,見た
503123,大分県豊後高田市,哺乳類,1,ニホンザル,見た
503124,大分県東国東郡安岐町,哺乳類,1,ニホンザル,見た
503125,大分県東国東郡国東町,哺乳類,1,ニホンザル,見た
503130,福岡県築上郡椎田町,哺乳類,1,ニホンザル,見た
503134,大分県東国東郡国東町,哺乳類,1,ニホンザル,見た
503135,大分県東国東郡国東町,哺乳類,1,ニホンザル,見た
503140,福岡県行橋市,哺乳類,1,ニホンザル,見た
503145,大分県東国東郡国見町,哺乳類,1,ニホンザル,見た
503204,愛媛県東宇和郡野村町,哺乳類,1,ニホンザル,見た
503205,愛媛県東宇和郡城川町,哺乳類,1,ニホンザル,見た
503206,愛媛県東宇和郡城川町,哺乳類,1,ニホンザル,見た
503207,高知県高岡郡東津野村,哺乳類,1,ニホンザル,見た
503214,愛媛県大洲市,哺乳類,1,ニホンザル,見た
503215,愛媛県喜多郡河辺村,哺乳類,1,ニホンザル,見た
503216,愛媛県東宇和郡野村町,哺乳類,1,ニホンザル,見た
503217,愛媛県上浮穴郡柳谷村,哺乳類,1,ニホンザル,見た
503224,愛媛県大洲市,哺乳類,1,ニホンザル,見た
503225,愛媛県喜多郡内子町,哺乳類,1,ニホンザル,見た
503227,愛媛県上浮穴郡柳谷村,哺乳類,1,ニホンザル,見た
503234,愛媛県大洲市,哺乳類,1,ニホンザル,見た
503235,愛媛県喜多郡内子町,哺乳類,1,ニホンザル,見た
503236,愛媛県上浮穴郡小田町,哺乳類,1,ニホンザル,見た
503237,愛媛県上浮穴郡美川村,哺乳類,1,ニホンザル,見た
503247,愛媛県上浮穴郡面河村,哺乳類,1,ニホンザル,聞いた
503261,山口県大島郡橘町,哺乳類,1,ニホンザル,見た
503267,愛媛県温泉郡重信町,哺乳類,1,ニホンザル,見た
503270,山口県熊毛郡大和町,哺乳類,1,ニホンザル,見た
503271,山口県玖珂郡大畠町,哺乳類,1,ニホンザル,見た
503277,愛媛県越智郡玉川町,哺乳類,1,ニホンザル,見た
503300,高知県高岡郡東津野村,哺乳類,1,ニホンザル,見た
503310,高知県高岡郡仁淀村,哺乳類,1,ニホンザル,見た
503311,高知県高岡郡葉山村,哺乳類,1,ニホンザル,聞いた
503317,高知県安芸郡安田町,哺乳類,1,ニホンザル,見た
503320,高知県吾川郡吾川村,哺乳類,1,ニホンザル,見た
503321,高知県高岡郡越知町,哺乳類,1,ニホンザル,見た
503322,高知県吾川郡伊野町,哺乳類,1,ニホンザル,見た
503327,高知県安芸市,哺乳類,1,ニホンザル,見た
503330,高知県吾川郡池川町,哺乳類,1,ニホンザル,見た
503331,高知県吾川郡吾北村,哺乳類,1,ニホンザル,見た
503332,高知県吾川郡吾北村,哺乳類,1,ニホンザル,見た
503336,高知県香美郡物部村,哺乳類,1,ニホンザル,見た
503340,愛媛県上浮穴郡面河村,哺乳類,1,ニホンザル,見た
503341,高知県土佐郡本川村,哺乳類,1,ニホンザル,見た
503342,高知県土佐郡土佐町,哺乳類,1,ニホンザル,見た
503343,高知県土佐郡土佐町,哺乳類,1,ニホンザル,見た
503345,高知県長岡郡大豊町,哺乳類,1,ニホンザル,見た
